Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
336,2304,737.7164,Success,32.11,1.25,1.61,-2.56
337,2304,-227.6746,Crash,35.97,2.67,2.33,-5.32
338,2304,722.4994,Success,34.21,1.6,2.45,-3.51
339,2304,730.2129,Success,31.3,2.05,2.54,-3.21
340,2304,724.3688,Success,31.66,2.91,1.69,-2.78
341,2304,721.5167,Success,33.52,2.48,1.47,-1.06
342,2305,-235.4133,Crash,39.02,2.25,0.77,-4.52
343,2305,712.6121,Success,37.13,1.34,3.79,-1.73
344,2305,700.1852,Success,36.02,3.08,3.68,-2.26
345,2305,694.6018,Success,39.17,2.97,6.12,-3.37
346,2305,702.5079,Success,39.7,2.52,3.19,-4.30
347,2305,719.9286,Success,39.59,1.55,1.46,-4.00
348,2305,709.1793,Success,38.08,1.37,3.96,-2.41
349,2305,-232.2277,Crash,33.19,2.45,4.99,-1.75
350,2306,682.1321,Success,41.65,2.69,4.89,-1.67
351,2306,695.2412,Success,39.95,2.48,2.67,-2.66
352,2306,-236.5227,Crash,36.07,3.19,3.63,-7.07
353,2306,726.1604,Success,31.1,3.07,4.18,-3.73
354,2306,700.6285,Success,38.5,2.49,4.52,-3.93
355,2306,709.7975,Success,36.81,2.67,2.52,-3.31
356,2306,-282.1154,Spin,39.51,2.65,3.02,-12.52
357,2306,725.3934,Success,33.16,1.62,2.71,-2.39
358,2306,-244.5106,Crash,37.89,3.25,1.99,-7.28
359,2307,-236.6325,Crash,36.7,2.68,3.35,-5.75
360,2307,-252.2806,Crash,41.62,2.26,2.24,-3.04
361,2307,-248.617,Crash,38.36,3.21,5.14,-4.89
362,2307,715.8005,Success,34.83,2.78,1.63,-1.89
363,2307,-223.7109,Crash,36.43,1.21,1.10,-5.14
364,2307,717.9941,Success,32.68,3.02,4.18,-2.96
365,2307,-239.6888,Crash,38.67,1.32,6.58,-3.12
366,2307,-242.8037,Crash,31.76,1.9,11.87,-6.03
367,2308,712.6018,Success,34.03,2.03,2.45,-0.79
368,2308,701.7698,Success,32.5,3.89,6.10,-2.93
369,2308,716.8649,Success,32.07,1.58,4.13,-1.78
370,2308,718.0706,Success,34.68,2.63,0.87,-2.42
371,2308,-256.4939,Crash,34.28,0.48,10.14,-1.14
372,2309,649.6836,Success,31.28,2.51,12.15,-1.77
373,2309,-255.2187,Crash,33.86,1.59,14.66,-5.74
374,2309,714.3501,Success,35.15,2.52,3.42,-2.10
375,2309,725.6994,Success,32.1,2.35,3.09,-2.57
376,2309,-234.0929,Crash,37.79,1.9,6.17,-1.90
377,2309,732.7341,Success,30.2,1.6,1.65,-1.71
